lat;lon;frp
-3076100;-59432600;167.3
-3076200;-59413400;316.5
-4301200;-48091700;52.5
-5098000;-48310600;29.2
-5116600;-48309500;77.7
-5105700;-60283000;66.4
-5234800;-60107500;59.9
-5289500;-60201400;51.1
-5307800;-60200800;79.7
-5804400;-53461400;59.8
-6429800;-60049100;51.7
-6710000;-59346700;96.1
-6710100;-59327400;123.7
-6710200;-59308100;95.0
-6728400;-59346000;78.9
-6728500;-59326700;90.1
-6728600;-59307400;104.2
-6728700;-59288100;54.2
-6747000;-59325900;53.9
-6966600;-59625200;72.6
-7041800;-62932500;84.9
-7098000;-59253600;45.8
-7098100;-59234300;110.3
-7116600;-59233500;56.7
-7182000;-60690400;64.5
-7182200;-60671300;66.5
-7200500;-60689700;125.8
-7200600;-60670600;131.8
-7311600;-60628000;95.3
-7330000;-60627300;52.4
-7403800;-64365600;59.3
-7403900;-64346900;106.7
-7403900;-64328200;51.2
-7422300;-64346400;115.2
-7422400;-64327700;72.0
-7585100;-61228000;60.7
-7776500;-54948800;50.4
-7993600;-49658500;71.3
-8130700;-54846400;51.0
-8185900;-62874200;51.8
-8371300;-62791600;68.3
-8427100;-62732700;45.8
-8503300;-54822200;87.2
-8554800;-63087000;57.1
-8591600;-67197300;69.2
-8591800;-67141800;76.0
-8610100;-67196900;70.1
-8631700;-62573200;104.4
-8631800;-62554200;40.0
-8650200;-62572400;75.4
-8854800;-62450300;56.0
-8855000;-62431300;57.9
-8873500;-62430500;54.3
-8873600;-62411500;96.2
-8873700;-62392500;69.4
-8892100;-62429700;48.3
-8892200;-62410700;68.0
-8892300;-62391700;52.6
-8907700;-66725400;56.6
-8907800;-66706900;124.6
-8907900;-66688300;68.8
-8929100;-62447100;50.2
-8926200;-66724900;51.0
-8926300;-66706400;118.0
-8926400;-66687800;68.2
-8947600;-62446400;73.6
-8948000;-62389400;79.5
-8948100;-62370400;84.6
-8966500;-62388600;124.1
-8966600;-62369600;113.2
-9040800;-65884200;123.3
-9040900;-65865500;100.6
-9059400;-65883600;128.9
-9059500;-65865000;105.1
-9097900;-59447600;53.6
-9077900;-65883000;48.9
-9103000;-61353400;57.1
-9121500;-61371700;65.9
-9121600;-61352600;59.3
-9153200;-59522100;63.3
-9135000;-65545300;57.3
-9153600;-65544700;59.8
-9191400;-59384300;81.0
-9191600;-59364900;57.5
-9172000;-65562800;59.5
-9199100;-60889000;131.0
-9199200;-60869800;56.3
-9189500;-65786300;74.8
-9189600;-65767600;53.1
-9217600;-60907300;44.2
-9217700;-60888100;212.1
-9217800;-60868900;91.4
-9208000;-65804400;50.8
-9208100;-65785700;73.5
-9208100;-65767000;61.7
-9236300;-60887200;44.2
-9237000;-60791100;59.1
-9256800;-67421300;49.4
-9326700;-64301600;73.5
-9350000;-63452400;143.6
-9406200;-60532600;71.4
-9537800;-66726200;51.7
-9556300;-66725600;70.6
-9556400;-66707000;50.0
-9673700;-53659200;75.2
-9673900;-53638700;103.1
-9675000;-53536100;51.2
-9692500;-53657700;116.3
-9692700;-53637200;110.5
-9683500;-58459300;76.9
-9683700;-58439700;57.2
-9702200;-58458200;72.1
-9702400;-58438600;49.2
-9787900;-53506300;46.5
-9806700;-53504800;50.0
-9779300;-63169500;111.3
-9779400;-63150500;74.1
-9797900;-63168600;114.2
-9798100;-63149700;85.3
-9898600;-57383100;71.2
-10621200;-54601600;85.3
-10621500;-54581200;159.9
-10909300;-54127600;105.9
-10909500;-54107100;85.3
-10928200;-54125900;45.7
-11531100;-61455300;66.1
-12255300;-60537600;63.5
-13239800;-54371600;60.4
-13240100;-54351000;46.9
-14724800;-59342800;44.1
-14725100;-59322900;47.1
-3057900;-59413800;76.7
-3076100;-59432600;135.6
-3076200;-59413400;230.3
-3094400;-59432200;59.4
-3094400;-59413100;89.3
-4301200;-48091700;56.6
-5124000;-60282500;53.6
-5234800;-60107500;53.0
-5289500;-60201400;53.0
-5307800;-60200800;72.8
-5804400;-53461400;54.6
-6672800;-63169500;53.4
-6710000;-59346700;81.4
-6710100;-59327400;124.5
-6710200;-59308100;103.4
-6728400;-59346000;85.5
-6728500;-59326700;81.4
-6728600;-59307400;91.2
-6747000;-59325900;49.7
-6966600;-59625200;57.1
-7041800;-62932500;82.3
-7098100;-59234300;102.9
-7182000;-60690400;91.8
-7182200;-60671300;103.4
-7200500;-60689700;112.2
-7200600;-60670600;106.8
-7311600;-60628000;87.2
-7330000;-60627300;49.1
-7403800;-64365600;56.1
-7403900;-64346900;89.3
-7422300;-64346400;111.1
-7422400;-64327700;78.9
-7585100;-61228000;57.6
-7610800;-63403200;45.3
-7993600;-49658500;83.7
-7960500;-63598300;48.5
-8204400;-62873500;48.6
-8371300;-62791600;51.1
-8408500;-62752400;78.0
-8408600;-62733500;143.3
-8427000;-62751700;226.4
-8427100;-62732700;461.9
-8503300;-54822200;91.5
-8554800;-63087000;48.4
-8591800;-67141800;73.0
-8610100;-67196900;73.8
-8631700;-62573200;145.9
-8631800;-62554200;56.6
-8650200;-62572400;112.1
-8854800;-62450300;58.2
-8855000;-62431300;71.8
-8873500;-62430500;54.9
-8873600;-62411500;100.9
-8873700;-62392500;75.7
-8892100;-62429700;59.8
-8892200;-62410700;87.4
-8892300;-62391700;56.5
-8907700;-66725400;63.1
-8907800;-66706900;147.7
-8907900;-66688300;77.1
-8929100;-62447100;54.3
-8926300;-66706400;91.7
-8926400;-66687800;58.0
-8947600;-62446400;61.4
-8948100;-62370400;70.5
-8966500;-62388600;117.2
-8966600;-62369600;103.6
-9040800;-65884200;123.3
-9040900;-65865500;93.4
-9059400;-65883600;135.6
-9059500;-65865000;108.5
-9097900;-59447600;53.8
-9121500;-61371700;82.1
-9121600;-61352600;70.5
-9135000;-65545300;59.0
-9153600;-65544700;52.9
